,PL,TEAMPLACE,LASTNAME,FIRSTNAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,MEET,DATE,5k,600m,1k,2k,2.25k,2.5 Miles,4.25k,5.5k,7k,7.25k,Unnamed: 0,GAP,Avg. K
4,18,5,Doherty,Mac,SO,Macalester College,5:28.6,17:02.1,18,Augsburg Open,2016,,,,,,,,,,,17.0,1:06.1,3:24.4
5,27,6,Harper,Henry,FR,Macalester College,5:32.4,17:13.7,26,Augsburg Open,2016,,,,,,,,,,,26.0,1:17.7,3:26.7
6,38,7,Richmond,Sam,SO,Macalester College,5:38.3,17:32.1,32,Augsburg Open,2016,,,,,,,,,,,37.0,1:36.1,3:30.4
7,46,8,Jarka-Sellers,Peter,FR,Macalester College,5:42.9,17:46.4,--,Augsburg Open,2016,,,,,,,,,,,45.0,1:50.4,3:33.3
8,47,9,Engberg,Ethan,SO,Macalester College,5:43.7,17:49.0,--,Augsburg Open,2016,,,,,,,,,,,46.0,1:53.0,3:33.8
9,49,10,Bildsten,Ben,FR,Macalester College,5:45.5,17:54.5,--,Augsburg Open,2016,,,,,,,,,,,48.0,1:58.5,3:34.9
10,56,11,Kirchmeier,Kemal,SR,Macalester College,5:51.7,18:13.7,--,Augsburg Open,2016,,,,,,,,,,,55.0,2:17.7,3:38.7
11,59,12,Nelson,Spencer,SR,Macalester College,5:58.5,18:35.1,--,Augsburg Open,2016,,,,,,,,,,,58.0,2:39.1,3:43.0
12,61,13,O'Donnell-Hoff,Sam,FR,Macalester College,6:01.7,18:44.9,--,Augsburg Open,2016,,,,,,,,,,,60.0,2:48.9,3:45.0
13,65,14,Heen,Kai,JR,Macalester College,6:09.3,19:08.4,--,Augsburg Open,2016,,,,,,,,,,,64.0,3:12.4,3:49.7
14,66,15,Martinez,Mason,SO,Macalester College,6:10.1,19:10.9,--,Augsburg Open,2016,,,,,,,,,,,65.0,3:14.9,3:50.2
15,67,16,Hernandez,Armando,FR,Macalester College,6:13.2,19:20.7,--,Augsburg Open,2016,,,,,,,,,,,66.0,3:24.7,3:52.1
16,69,17,Gordon,Alex,JR,Macalester College,6:14.7,19:25.4,--,Augsburg Open,2016,,,,,,,,,,,68.0,3:29.4,3:53.1
17,72,18,Feeney,Will,JR,Macalester College,6:21.6,19:47.0,--,Augsburg Open,2016,,,,,,,,,,,71.0,3:51.0,3:57.4
18,73,19,Loeffler-Kemp,Seth,SR,Macalester College,6:24.8,19:56.8,--,Augsburg Open,2016,,,,,,,,,,,72.0,4:00.8,3:59.4
19,77,20,Stokes,Rob,FR,Macalester College,6:41.9,20:50.0,--,Augsburg Open,2016,,,,,,,,,,,76.0,4:54.0,4:10.0
